tau,thr,entry,n_cand,fill_rate,n_fill,win_uncond,win_fill,ev_maker,ev_taker,ev_maker0
90,150,0.98,495,0.022222222222222223,11,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
90,150,0.99,495,0.08282828282828283,41,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
60,50,0.9,1520,0.010526315789473684,16,0.9980263157894737,0.8125,-0.09750000000000002,-0.09750000000000002,-0.08750000000000002
60,50,0.93,1520,0.014473684210526316,22,0.9980263157894737,0.8636363636363636,-0.07636363636363638,-0.07636363636363638,-0.06636363636363639
60,50,0.95,1520,0.021052631578947368,32,0.9980263157894737,0.90625,-0.05374999999999995,-0.05374999999999995,-0.04374999999999995
60,50,0.97,1520,0.03355263157894737,51,0.9980263157894737,0.9411764705882353,-0.03882352941176469,-0.03882352941176469,-0.02882352941176469
60,50,0.98,1520,0.05197368421052632,79,0.9980263157894737,0.9620253164556962,-0.027974683544303762,-0.027974683544303762,-0.01797468354430376
60,50,0.99,1520,0.13289473684210526,202,0.9980263157894737,0.9851485148514851,-0.014851485148514856,-0.014851485148514856,-0.004851485148514856
60,75,0.9,1144,0.004370629370629371,5,0.9982517482517482,0.6,-0.31000000000000005,-0.31000000000000005,-0.30000000000000004
60,75,0.93,1144,0.005244755244755245,6,0.9982517482517482,0.6666666666666666,-0.27333333333333343,-0.27333333333333343,-0.2633333333333334
60,75,0.95,1144,0.006118881118881119,7,0.9982517482517482,0.7142857142857143,-0.24571428571428566,-0.24571428571428566,-0.23571428571428565
60,75,0.97,1144,0.013111888111888112,15,0.9982517482517482,0.8666666666666667,-0.11333333333333327,-0.11333333333333327,-0.10333333333333328
60,75,0.98,1144,0.021853146853146852,25,0.9982517482517482,0.92,-0.06999999999999994,-0.06999999999999994,-0.05999999999999994
60,75,0.99,1144,0.0743006993006993,85,0.9982517482517482,0.9764705882352941,-0.023529411764705903,-0.023529411764705903,-0.013529411764705901
60,100,0.9,875,0.002285714285714286,2,0.9988571428571429,0.5,-0.41000000000000003,-0.41000000000000003,-0.4
60,100,0.93,875,0.002285714285714286,2,0.9988571428571429,0.5,-0.44000000000000006,-0.44000000000000006,-0.43000000000000005
60,100,0.95,875,0.002285714285714286,2,0.9988571428571429,0.5,-0.45999999999999996,-0.45999999999999996,-0.44999999999999996
